Country;ID;qual;year;pop;fert;birth;mort;N=workforce;dN;K;c;v;s;gdp;delta;gamma;alpha;r;requil;s/v;K/v
Argentina;ARG;1993;B;34407000;2.875;0.020896;0.008198;14108219;0.012305167647312534;384418518224;50272641510;1.072488796203658E11;1.3187103046263422E11;289392551593;0.13;0.02;0.51;0.34;0.32;1.23;3.58
Argentina;ARG;1994;B;34847000;2.827;0.020638999999999998;0.008135;14281823;0.02180302892704944;401914372055;52524827216;1.099768140246581E11;1.4290467374034192E11;305406314981;0.13;0.05;0.44;0.36;0.46;1.30;3.65
Argentina;ARG;1995;B;35274000;2.774;0.020353000000000003;0.008076999999999999;14593210;0.023973272501389344;412730266109;50325549639;1.049048998748585E11;1.4735074424114148E11;302581193755;0.12;0.05;0.49;0.36;0.40;1.40;3.93
Argentina;ARG;1996;B;35683000;2.717;0.020036;0.008024;14943057;0.023555220327406902;434065592219;47861096634;1.0276040851340881E11;1.671286757845912E11;317750180932;0.11;0.03;0.47;0.39;0.36;1.63;4.22
Argentina;ARG;1997;B;36102000;2.657;0.019695;0.007980000000000001;15295044;0.024714083856182435;464822594644;49944390380;1.08548774744465E11;1.81785125610535E11;340278290735;0.11;0.03;0.46;0.39;0.35;1.67;4.28
Argentina;ARG;1998;B;36518000;2.596;0.019341;0.007943;15673047;0.02429814700357882;497678724810;51799996084;1.191462996498775E11;1.829185680911225E11;353864863825;0.10;0.02;0.38;0.37;0.38;1.54;4.18
Argentina;ARG;1999;B;36923000;2.535;0.018983;0.007914;16053873;0.024600792593787182;516251804283;51781442570;1.23840954126321E11;1.6885869962167902E11;344481096318;0.10;0.00;0.39;0.33;0.33;1.36;4.17
Argentina;ARG;2000;B;37336000;2.477;0.018640999999999998;0.007892999999999999;16448811;0.023300893906556527;529544821997;54382087827;1.22559464384244E11;1.6549897414875598E11;342440526360;0.10;0.00;0.35;0.31;0.37;1.35;4.32
Argentina;ARG;2001;B;37694000;2.425;0.018332;0.007877;16832083;0.021947788636736167;532341647487;56785466265;1.2333478297813861E11;1.520499176788614E11;332170166922;0.11;-0.01;0.25;0.29;0.45;1.23;4.32
Argentina;ARG;2002;B;37999000;2.379;0.018066;0.007864;17201510;0.02280410266308016;513876208392;55633391912;9.371146226912671E10;1.606500590478733E11;309994913229;0.11;-0.04;0.35;0.31;0.25;1.71;5.48
